Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
240294,37.89,36.13,36.79,12.26,0.865,0.628
240798,37.89,36.13,35.84,12.26,0.954,0.717
241302,37.89,36.13,36.63,12.26,0.850,0.510
241806,37.01,36.13,36.94,12.26,0.998,0.628
242310,37.89,36.13,36.79,12.26,0.806,0.628
242813,37.89,36.13,36.63,12.26,0.880,0.569
243317,37.89,36.13,36.94,12.26,0.702,0.732
243821,37.89,36.13,36.79,12.26,0.791,0.613
244325,37.89,36.13,36.63,12.26,1.058,0.717
244829,37.89,36.13,36.31,12.22,0.732,0.628
245332,37.89,36.13,36.79,12.26,1.132,0.465
245836,37.01,36.13,36.79,12.26,0.687,0.717
246339,37.89,36.13,37.10,12.26,0.761,0.687
246843,37.89,36.13,37.10,12.26,1.058,0.613
247347,37.89,36.13,37.26,12.26,1.235,0.702
247851,37.89,36.13,37.26,12.26,1.161,0.687
248354,37.01,36.13,36.94,12.26,0.939,0.732
248858,37.01,36.13,36.94,12.26,1.028,0.613
249362,37.01,36.13,37.10,12.26,0.806,0.539
249866,37.01,36.13,36.94,12.26,1.043,0.717
250370,37.01,36.13,36.79,12.26,0.835,0.747
250873,37.89,36.13,36.79,12.26,0.850,0.628
251377,37.89,36.13,37.42,12.26,1.028,0.584
251881,37.89,36.13,37.57,12.26,0.673,0.747
252385,37.01,36.13,37.26,12.26,0.806,0.673
252889,37.01,36.13,37.10,12.26,0.732,0.599
253392,37.89,36.13,37.73,12.27,0.998,0.776
253896,37.01,36.13,37.57,12.26,0.450,1.072
254400,39.65,36.13,37.73,12.26,0.998,0.850
254904,37.89,36.13,37.10,12.26,0.628,0.806
255408,37.01,36.13,37.26,12.26,0.554,0.717
255911,37.89,36.13,37.42,12.26,0.910,0.613
256415,37.01,36.13,37.26,12.26,0.584,0.806
256919,37.89,36.13,37.42,12.26,1.028,0.732
257423,37.89,36.13,37.73,12.26,1.221,0.865
